Time IMU (s),Pitch (deg),,Time depth (s),Depth (m)
0.000,,,434.451,0.0116
0.000,,,434.687,0.0116
0.000,,,434.924,0.0543
0.000,,,435.160,0.0543
0.000,,,435.397,-0.0310
0.000,,,435.633,0.0116
0.000,,,435.870,0.0116
0.000,,,436.106,0.0116
0.000,,,436.343,0.0116
0.000,,,436.579,0.0116
0.000,,,436.816,0.0543
0.000,,,437.052,0.0116
0.000,,,437.289,0.0543
0.000,,,437.525,-0.0310
0.000,,,437.762,-0.0310
0.000,,,437.998,-0.0310
0.000,,,438.235,0.0116
0.000,,,438.471,-0.0310
0.000,,,438.708,-0.0310
0.000,,,438.944,0.0116
0.000,,,439.181,-0.0310
0.000,,,439.417,0.0116
0.000,,,439.654,0.0116
0.000,,,439.890,0.0116
0.000,,,440.127,-0.0310
0.000,,,440.363,0.0116
0.000,,,440.600,-0.0310
0.000,,,440.836,-0.0310
0.000,,,441.073,0.0543
0.000,,,441.309,0.0116
0.000,,,441.546,-0.0310
0.000,,,441.782,-0.0310
0.000,,,442.019,0.0116
0.000,,,442.255,0.0116
0.000,,,442.492,0.0116
0.000,,,442.728,0.0116
0.000,,,442.965,0.0116
0.000,,,443.201,0.0116
0.000,,,443.438,0.0116
0.000,,,443.674,0.0543
0.000,,,443.911,0.0116
0.000,,,444.147,0.0116
0.000,,,444.384,0.0116
0.000,,,444.620,0.0543
0.000,,,444.857,0.0116
0.000,,,445.093,0.0116
0.000,,,445.330,0.0116
0.000,,,445.566,0.0543
0.000,,,445.803,0.0116
0.000,,,446.039,-0.0310
0.000,,,446.276,0.0116
0.000,,,446.512,0.0116
0.000,,,446.749,0.0116
0.000,,,446.985,0.0116
0.000,,,447.222,0.0116
0.000,,,447.458,0.0116
0.000,,,447.695,0.0116
0.000,,,447.931,-0.0310
0.000,,,448.168,0.0543
0.000,,,448.404,0.0116
